Genero,Anime,Vistas
,IS: Infinite Stratos 2 - Infinite Wedding,5
Action,Sword Art Online,9194
Adventure,Sword Art Online,9194
Cars,Redline,1294
Comedy,Angel Beats!,8211
Dementia,Neon Genesis Evangelion,5144
Demons,Ao no Exorcist,6211
Drama,Shingeki no Kyojin,8733
Ecchi,Highschool of the Dead,6818
Fantasy,Sword Art Online,9194
Game,Sword Art Online,9194
Harem,Ouran Koukou Host Club,5388
Hentai,Boku no Pico,604
Historical,Kuroshitsuji,4473
Horror,Elfen Lied,7906
Josei,Usagi Drop,2072
Kids,Digimon Adventure,2510
Magic,Fullmetal Alchemist: Brotherhood,7342
Martial Arts,Naruto,7414
Mecha,Code Geass: Hangyaku no Lelouch,8237
Military,Code Geass: Hangyaku no Lelouch,8237
Music,K-On!,4699
Mystery,Death Note,11551
Parody,Suzumiya Haruhi no Yuuutsu,5344
Police,Death Note,11551
Psychological,Death Note,11551
Romance,Sword Art Online,9194
Samurai,Samurai Champloo,4057
School,Code Geass: Hangyaku no Lelouch,8237
Sci-Fi,Code Geass: Hangyaku no Lelouch,8237
Seinen,Elfen Lied,7906
Shoujo,Ouran Koukou Host Club,5388
Shoujo Ai,Kämpfer,1846
Shounen,Shingeki no Kyojin,8733
Shounen Ai,Junjou Romantica,1602
Slice of Life,Toradora!,7248
Space,Cowboy Bebop,4520
Sports,Kuroko no Basket,3327
Super Power,Shingeki no Kyojin,8733
Supernatural,Death Note,11551
Thriller,Death Note,11551
Vampire,Bakemonogatari,4829
Yaoi,Boku no Pico,604
Yuri,Aki-Sora: Yume no Naka,498
