anio_mes,SOURCES,ID_ANIME,Acumulado
1963-09-01,4-koma manga,1.0,1.0
1963-09-01,Book,0.0,0.0
1963-09-01,Card game,0.0,0.0
1963-09-01,Digital manga,0.0,0.0
1963-09-01,Game,0.0,0.0
1963-09-01,Light novel,0.0,0.0
1963-09-01,Manga,0.0,0.0
1963-09-01,Music,0.0,0.0
1963-09-01,Novel,0.0,0.0
1963-09-01,Original,0.0,0.0
1963-09-01,Other,0.0,0.0
1963-09-01,Picture book,0.0,0.0
1963-09-01,Radio,0.0,0.0
1963-09-01,Unknown,0.0,0.0
1963-09-01,Visual novel,0.0,0.0
1963-09-01,Web manga,0.0,0.0
1969-10-01,4-koma manga,1.0,2.0
1969-10-01,Book,1.0,1.0
1969-10-01,Card game,0.0,0.0
1969-10-01,Digital manga,0.0,0.0
1969-10-01,Game,0.0,0.0
1969-10-01,Light novel,0.0,0.0
1969-10-01,Manga,1.0,1.0
1969-10-01,Music,0.0,0.0
1969-10-01,Novel,0.0,0.0
1969-10-01,Original,0.0,0.0
1969-10-01,Other,0.0,0.0
1969-10-01,Picture book,0.0,0.0
1969-10-01,Radio,0.0,0.0
1969-10-01,Unknown,2.0,2.0
1969-10-01,Visual novel,0.0,0.0
1969-10-01,Web manga,0.0,0.0
1979-11-01,4-koma manga,1.0,3.0
1979-11-01,Book,0.0,1.0
1979-11-01,Card game,0.0,0.0
1979-11-01,Digital manga,0.0,0.0
1979-11-01,Game,0.0,0.0
1979-11-01,Light novel,0.0,0.0
1979-11-01,Manga,0.0,1.0
1979-11-01,Music,0.0,0.0
1979-11-01,Novel,0.0,0.0
1979-11-01,Original,0.0,0.0
1979-11-01,Other,0.0,0.0
1979-11-01,Picture book,0.0,0.0
1979-11-01,Radio,0.0,0.0
1979-11-01,Unknown,0.0,2.0
1979-11-01,Visual novel,0.0,0.0
1979-11-01,Web manga,0.0,0.0
1980-05-01,4-koma manga,1.0,4.0
1980-05-01,Book,0.0,1.0
1980-05-01,Card game,0.0,0.0
1980-05-01,Digital manga,0.0,0.0
1980-05-01,Game,0.0,0.0
1980-05-01,Light novel,0.0,0.0
1980-05-01,Manga,0.0,1.0
1980-05-01,Music,0.0,0.0
1980-05-01,Novel,1.0,1.0
1980-05-01,Original,1.0,1.0
1980-05-01,Other,0.0,0.0
1980-05-01,Picture book,0.0,0.0
1980-05-01,Radio,0.0,0.0
1980-05-01,Unknown,1.0,3.0
1980-05-01,Visual novel,0.0,0.0
1980-05-01,Web manga,0.0,0.0
1980-12-01,4-koma manga,1.0,5.0
1980-12-01,Book,0.0,1.0
1980-12-01,Card game,0.0,0.0
1980-12-01,Digital manga,0.0,0.0
1980-12-01,Game,0.0,0.0
1980-12-01,Light novel,0.0,0.0
1980-12-01,Manga,0.0,1.0
1980-12-01,Music,0.0,0.0
1980-12-01,Novel,0.0,1.0
1980-12-01,Original,0.0,1.0
1980-12-01,Other,0.0,0.0
1980-12-01,Picture book,0.0,0.0
1980-12-01,Radio,0.0,0.0
1980-12-01,Unknown,1.0,4.0
1980-12-01,Visual novel,0.0,0.0
1980-12-01,Web manga,0.0,0.0
1988-03-01,4-koma manga,1.0,6.0
1988-03-01,Book,0.0,1.0
1988-03-01,Card game,0.0,0.0
1988-03-01,Digital manga,0.0,0.0
1988-03-01,Game,0.0,0.0
1988-03-01,Light novel,0.0,0.0
1988-03-01,Manga,4.0,5.0
1988-03-01,Music,0.0,0.0
1988-03-01,Novel,1.0,2.0
1988-03-01,Original,2.0,3.0
1988-03-01,Other,0.0,0.0
1988-03-01,Picture book,0.0,0.0
1988-03-01,Radio,0.0,0.0
1988-03-01,Unknown,8.0,12.0
1988-03-01,Visual novel,0.0,0.0
1988-03-01,Web manga,0.0,0.0
1988-04-01,4-koma manga,1.0,7.0
1988-04-01,Book,0.0,1.0
1988-04-01,Card game,0.0,0.0
1988-04-01,Digital manga,0.0,0.0
1988-04-01,Game,0.0,0.0
1988-04-01,Light novel,0.0,0.0
1988-04-01,Manga,3.0,8.0
1988-04-01,Music,0.0,0.0
1988-04-01,Novel,1.0,3.0
1988-04-01,Original,3.0,6.0
1988-04-01,Other,1.0,1.0
1988-04-01,Picture book,0.0,0.0
1988-04-01,Radio,0.0,0.0
1988-04-01,Unknown,12.0,24.0
1988-04-01,Visual novel,0.0,0.0
1988-04-01,Web manga,0.0,0.0
1990-04-01,4-koma manga,1.0,8.0
1990-04-01,Book,1.0,2.0
1990-04-01,Card game,0.0,0.0
1990-04-01,Digital manga,0.0,0.0
1990-04-01,Game,0.0,0.0
1990-04-01,Light novel,0.0,0.0
1990-04-01,Manga,4.0,12.0
1990-04-01,Music,0.0,0.0
1990-04-01,Novel,0.0,3.0
1990-04-01,Original,4.0,10.0
1990-04-01,Other,0.0,1.0
1990-04-01,Picture book,0.0,0.0
1990-04-01,Radio,0.0,0.0
1990-04-01,Unknown,9.0,33.0
1990-04-01,Visual novel,0.0,0.0
1990-04-01,Web manga,0.0,0.0
1991-01-01,4-koma manga,1.0,9.0
1991-01-01,Book,0.0,2.0
1991-01-01,Card game,0.0,0.0
1991-01-01,Digital manga,0.0,0.0
1991-01-01,Game,0.0,0.0
1991-01-01,Light novel,0.0,0.0
1991-01-01,Manga,1.0,13.0
1991-01-01,Music,0.0,0.0
1991-01-01,Novel,1.0,4.0
1991-01-01,Original,0.0,10.0
1991-01-01,Other,0.0,1.0
1991-01-01,Picture book,0.0,0.0
1991-01-01,Radio,0.0,0.0
1991-01-01,Unknown,7.0,40.0
1991-01-01,Visual novel,0.0,0.0
1991-01-01,Web manga,0.0,0.0
1991-04-01,4-koma manga,1.0,10.0
1991-04-01,Book,1.0,3.0
1991-04-01,Card game,0.0,0.0
1991-04-01,Digital manga,0.0,0.0
1991-04-01,Game,0.0,0.0
1991-04-01,Light novel,0.0,0.0
1991-04-01,Manga,4.0,17.0
1991-04-01,Music,0.0,0.0
1991-04-01,Novel,0.0,4.0
1991-04-01,Original,1.0,11.0
1991-04-01,Other,0.0,1.0
1991-04-01,Picture book,1.0,1.0
1991-04-01,Radio,0.0,0.0
1991-04-01,Unknown,12.0,52.0
1991-04-01,Visual novel,0.0,0.0
1991-04-01,Web manga,0.0,0.0
1992-05-01,4-koma manga,1.0,11.0
1992-05-01,Book,0.0,3.0
1992-05-01,Card game,0.0,0.0
1992-05-01,Digital manga,0.0,0.0
1992-05-01,Game,0.0,0.0
1992-05-01,Light novel,0.0,0.0
1992-05-01,Manga,1.0,18.0
1992-05-01,Music,0.0,0.0
1992-05-01,Novel,0.0,4.0
1992-05-01,Original,2.0,13.0
1992-05-01,Other,0.0,1.0
1992-05-01,Picture book,0.0,1.0
1992-05-01,Radio,0.0,0.0
1992-05-01,Unknown,6.0,58.0
1992-05-01,Visual novel,0.0,0.0
1992-05-01,Web manga,0.0,0.0
1992-10-01,4-koma manga,2.0,13.0
1992-10-01,Book,0.0,3.0
1992-10-01,Card game,0.0,0.0
1992-10-01,Digital manga,0.0,0.0
1992-10-01,Game,0.0,0.0
1992-10-01,Light novel,0.0,0.0
1992-10-01,Manga,8.0,26.0
1992-10-01,Music,0.0,0.0
1992-10-01,Novel,1.0,5.0
1992-10-01,Original,1.0,14.0
1992-10-01,Other,0.0,1.0
1992-10-01,Picture book,1.0,2.0
1992-10-01,Radio,0.0,0.0
1992-10-01,Unknown,7.0,65.0
1992-10-01,Visual novel,0.0,0.0
1992-10-01,Web manga,0.0,0.0
1993-07-01,4-koma manga,1.0,14.0
1993-07-01,Book,1.0,4.0
1993-07-01,Card game,0.0,0.0
1993-07-01,Digital manga,0.0,0.0
1993-07-01,Game,1.0,1.0
1993-07-01,Light novel,0.0,0.0
1993-07-01,Manga,6.0,32.0
1993-07-01,Music,1.0,1.0
1993-07-01,Novel,1.0,6.0
1993-07-01,Original,0.0,14.0
1993-07-01,Other,0.0,1.0
1993-07-01,Picture book,0.0,2.0
1993-07-01,Radio,0.0,0.0
1993-07-01,Unknown,10.0,75.0
1993-07-01,Visual novel,0.0,0.0
1993-07-01,Web manga,0.0,0.0
1993-11-01,4-koma manga,1.0,15.0
1993-11-01,Book,0.0,4.0
1993-11-01,Card game,0.0,0.0
1993-11-01,Digital manga,0.0,0.0
1993-11-01,Game,0.0,1.0
1993-11-01,Light novel,0.0,0.0
1993-11-01,Manga,2.0,34.0
1993-11-01,Music,0.0,1.0
1993-11-01,Novel,1.0,7.0
1993-11-01,Original,0.0,14.0
1993-11-01,Other,0.0,1.0
1993-11-01,Picture book,0.0,2.0
1993-11-01,Radio,0.0,0.0
1993-11-01,Unknown,9.0,84.0
1993-11-01,Visual novel,0.0,0.0
1993-11-01,Web manga,0.0,0.0
1995-04-01,4-koma manga,1.0,16.0
1995-04-01,Book,0.0,4.0
1995-04-01,Card game,0.0,0.0
1995-04-01,Digital manga,0.0,0.0
1995-04-01,Game,1.0,2.0
1995-04-01,Light novel,1.0,1.0
1995-04-01,Manga,9.0,43.0
1995-04-01,Music,0.0,1.0
1995-04-01,Novel,1.0,8.0
1995-04-01,Original,5.0,19.0
1995-04-01,Other,1.0,2.0
1995-04-01,Picture book,0.0,2.0
1995-04-01,Radio,0.0,0.0
1995-04-01,Unknown,13.0,97.0
1995-04-01,Visual novel,0.0,0.0
1995-04-01,Web manga,0.0,0.0
1998-04-01,4-koma manga,1.0,17.0
1998-04-01,Book,0.0,4.0
1998-04-01,Card game,0.0,0.0
1998-04-01,Digital manga,0.0,0.0
1998-04-01,Game,0.0,2.0
1998-04-01,Light novel,1.0,2.0
1998-04-01,Manga,17.0,60.0
1998-04-01,Music,0.0,1.0
1998-04-01,Novel,1.0,9.0
1998-04-01,Original,10.0,29.0
1998-04-01,Other,0.0,2.0
1998-04-01,Picture book,1.0,3.0
1998-04-01,Radio,0.0,0.0
1998-04-01,Unknown,7.0,104.0
1998-04-01,Visual novel,0.0,0.0
1998-04-01,Web manga,0.0,0.0
1998-08-01,4-koma manga,1.0,18.0
1998-08-01,Book,0.0,4.0
1998-08-01,Card game,0.0,0.0
